Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2336,IND,C
7-9 uur,NG,108,IND,C
9-16 uur,NG,841,IND,C
16-18 uur,NG,464,IND,C
18-23 uur,NG,708,IND,C
23-7 uur,NG,215,IND,C
