Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,360,IND,C
7-9 uur,MVT,42,IND,C
9-16 uur,MVT,175,IND,C
16-18 uur,MVT,48,IND,C
18-23 uur,MVT,73,IND,C
23-7 uur,MVT,23,IND,C
