Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,529,IND,B
7-9 uur,MVT,59,IND,B
9-16 uur,MVT,250,IND,B
16-18 uur,MVT,75,IND,B
18-23 uur,MVT,115,IND,B
23-7 uur,MVT,29,IND,B
