Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2013,IND,C
7-9 uur,NG,367,IND,C
9-16 uur,NG,850,IND,C
16-18 uur,NG,246,IND,C
18-23 uur,NG,493,IND,C
23-7 uur,NG,57,IND,C
