Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,533,IND,B
7-9 uur,MVT,60,IND,B
9-16 uur,MVT,257,IND,B
16-18 uur,MVT,68,IND,B
18-23 uur,MVT,113,IND,B
23-7 uur,MVT,35,IND,B
