Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2026,IND,C
7-9 uur,NG,342,IND,C
9-16 uur,NG,844,IND,C
16-18 uur,NG,268,IND,C
18-23 uur,NG,482,IND,C
23-7 uur,NG,89,IND,C
