Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2568,IND,C
7-9 uur,NG,94,IND,C
9-16 uur,NG,1041,IND,C
16-18 uur,NG,423,IND,C
18-23 uur,NG,678,IND,C
23-7 uur,NG,332,IND,C
