Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,511,IND,B
7-9 uur,MVT,57,IND,B
9-16 uur,MVT,238,IND,B
16-18 uur,MVT,66,IND,B
18-23 uur,MVT,116,IND,B
23-7 uur,MVT,35,IND,B
