Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2223,IND,C
7-9 uur,NG,293,IND,C
9-16 uur,NG,965,IND,C
16-18 uur,NG,303,IND,C
18-23 uur,NG,530,IND,C
23-7 uur,NG,132,IND,C
