Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,339,IND,C
7-9 uur,MVT,38,IND,C
9-16 uur,MVT,158,IND,C
16-18 uur,MVT,43,IND,C
18-23 uur,MVT,63,IND,C
23-7 uur,MVT,37,IND,C
