Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2477,IND,C
7-9 uur,NG,103,IND,C
9-16 uur,NG,884,IND,C
16-18 uur,NG,499,IND,C
18-23 uur,NG,746,IND,C
23-7 uur,NG,245,IND,C
