Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2301,IND,C
7-9 uur,NG,112,IND,C
9-16 uur,NG,827,IND,C
16-18 uur,NG,503,IND,C
18-23 uur,NG,720,IND,C
23-7 uur,NG,139,IND,C
