Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2118,IND,C
7-9 uur,NG,346,IND,C
9-16 uur,NG,872,IND,C
16-18 uur,NG,290,IND,C
18-23 uur,NG,527,IND,C
23-7 uur,NG,83,IND,C
