Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,483,IND,B
7-9 uur,MVT,57,IND,B
9-16 uur,MVT,241,IND,B
16-18 uur,MVT,75,IND,B
18-23 uur,MVT,117,IND,B
23-7 uur,MVT,31,IND,B
