Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,195,IND,B
7-9 uur,MVT,16,IND,B
9-16 uur,MVT,102,IND,B
16-18 uur,MVT,29,IND,B
18-23 uur,MVT,46,IND,B
23-7 uur,MVT,16,IND,B
