Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,412,IND,C
7-9 uur,MVT,56,IND,C
9-16 uur,MVT,183,IND,C
16-18 uur,MVT,34,IND,C
18-23 uur,MVT,90,IND,C
23-7 uur,MVT,49,IND,C
