Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,194,IND,B
7-9 uur,MVT,17,IND,B
9-16 uur,MVT,90,IND,B
16-18 uur,MVT,27,IND,B
18-23 uur,MVT,44,IND,B
23-7 uur,MVT,16,IND,B
