Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,654,IND,C
7-9 uur,MVT,58,IND,C
9-16 uur,MVT,259,IND,C
16-18 uur,MVT,58,IND,C
18-23 uur,MVT,172,IND,C
23-7 uur,MVT,107,IND,C
