Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,227,IND,B
7-9 uur,MVT,17,IND,B
9-16 uur,MVT,107,IND,B
16-18 uur,MVT,28,IND,B
18-23 uur,MVT,54,IND,B
23-7 uur,MVT,21,IND,B
