Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,75,IND,C
7-9 uur,NG,11,IND,C
9-16 uur,NG,25,IND,C
16-18 uur,NG,14,IND,C
18-23 uur,NG,20,IND,C
23-7 uur,NG,5,IND,C
