Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,24,IND,C
7-9 uur,NG,2,IND,C
9-16 uur,NG,9,IND,C
16-18 uur,NG,4,IND,C
18-23 uur,NG,5,IND,C
23-7 uur,NG,4,IND,C
