Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,15,IND,C
7-9 uur,NG,2,IND,C
9-16 uur,NG,5,IND,C
16-18 uur,NG,3,IND,C
18-23 uur,NG,5,IND,C
23-7 uur,NG,0,IND,C
