Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,MVT,12,IND,C
7-9 uur,MVT,3,IND,C
9-16 uur,MVT,4,IND,C
16-18 uur,MVT,0,IND,C
18-23 uur,MVT,3,IND,C
23-7 uur,MVT,2,IND,C
