Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,3147,IND,C
7-9 uur,NG,632,IND,C
9-16 uur,NG,1277,IND,C
16-18 uur,NG,451,IND,C
18-23 uur,NG,700,IND,C
23-7 uur,NG,87,IND,C
