Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2030,IND,C
7-9 uur,NG,144,IND,C
9-16 uur,NG,664,IND,C
16-18 uur,NG,416,IND,C
18-23 uur,NG,688,IND,C
23-7 uur,NG,118,IND,C
