Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2220,IND,C
7-9 uur,NG,122,IND,C
9-16 uur,NG,733,IND,C
16-18 uur,NG,429,IND,C
18-23 uur,NG,738,IND,C
23-7 uur,NG,197,IND,C
