Nummer,Objecttype,lon,lat,glg_m_nap,glg_depth_below_ground_m,swing_m,trend_mm_per_year,nearest_well_m,n_wells_within_400m,support
KM070005,Kademuur,5.1423209,52.0645929,0.3886586196717647,1.1624730667729344,0.25031827552493213,-1.741072547865422,41.81809284865746,11,measured nearby
BS090178,Damwand,5.086808,52.0656774,-0.17242663206446862,1.385103319098156,0.21198088367788023,-8.83726072490014,540.3381084916356,0,no support
BS040078,Damwand,5.1264959,52.0964622,0.38367469354414596,2.0185217229851333,0.3797770594923266,97.04684406049721,142.57691988314483,3,interpolated
BS050064,Beschoeiing,5.1552399,52.0871906,0.4525727074215079,1.6608812331788192,0.4644629603079562,-18.93398776275415,71.08225090487626,1,measured nearby
WFM06305-X,Muur,5.1190619,52.091806,1.4564875386329625,3.453827549022999,0.49626886047137586,-64.93919817325971,235.74097768684183,2,interpolated
BS020001,Beschoeiing,5.0865685,52.106239,-0.34754807359097084,1.9308446395165053,0.4535441557876594,-14.611972785649392,347.8639909736306,1,weakly supported
WF060390,Muur,5.1191551,52.0917752,1.4738357739197785,3.4705703236506547,0.4971874145113969,-64.20610632940591,228.62135833070832,2,interpolated
WF060520,Muur,5.1214865,52.0878689,1.1033624021842185,3.2171123220567948,0.39161967300349554,-55.81128596022702,367.6375563378863,3,weakly supported
BS050042,Beschoeiing,5.156957,52.073306,0.49222646697772343,1.4162677347948402,0.2360637123274067,,144.1396327536293,8,interpolated
BS100157,Beschoeiing,5.0180319,52.0851764,-0.8666127778277172,1.714257861005586,0.2624187856066197,18.73425829651159,190.76610883278894,7,interpolated
KWN10002,Muur,5.0210436,52.1035378,-0.3666637964488367,1.3373152376259536,0.43991411656720586,-2.495768557002587,389.18744498264635,1,weakly supported
WF060592,Muur,5.1222338,52.0855268,0.7453808437956941,2.8002830652101243,0.3015962353438677,-43.233453926861145,292.661625279831,2,weakly supported
DW100001,Damwand,5.0129908,52.100817,-0.4441290463686574,1.369310075208517,0.3413735872731878,-4.118636069718778,424.0935573828618,0,weakly supported
WF060638,Muur,5.1229826,52.0847122,0.6469075418476514,2.7029465462985263,0.23240519757586928,-33.34422357484314,191.62447676749667,1,interpolated
KM070017,Kademuur,5.1419399,52.0642616,0.4768413969189966,1.183533745684379,0.24635090043879557,-6.725125096419493,66.31210110156056,9,measured nearby
KM060031,Kademuur,5.1166772,52.0964683,0.3553816886897775,2.4255290264665734,0.4821892403413212,-63.354157166289426,336.8956477082022,2,weakly supported
BS040009,Damwand,5.144936,52.1064186,0.06500831391762588,1.5440346647149483,0.23013762859668296,-9.80214072529718,295.711561060832,1,weakly supported
BS040138,Beschoeiing,5.1503135,52.1038666,0.19432220047406534,1.313143631643203,0.19325933015224836,-0.13677339489833612,183.63843082681612,1,interpolated
BSA05030-04,Beschoeiing,5.1369331,52.0843201,0.5800483008149054,1.9104773909667312,0.33910200989495015,-53.13000187202728,573.0419642732139,0,no support
BS100093,Beschoeiing,4.9962725,52.1005402,-0.6602238181527275,1.260259474838569,0.3142662178418579,7.225464773715559,298.0764943132701,3,weakly supported
BS070029,Beschoeiing,5.1128446,52.0612821,0.36245772130414405,1.1211687172991711,0.3704074034806181,-39.77543884184015,202.18916983068857,5,interpolated
WF060391,Muur,5.1190746,52.0915951,1.4669871870708389,3.471186271350807,0.49485138522349875,-63.64221992530224,228.63147964290945,2,interpolated
WF060600,Muur,5.1224772,52.0859606,0.8060720238161289,2.85258950403258,0.3179114854232449,-48.95094052898112,321.484731193321,1,weakly supported
BS050130,Beschoeiing,5.1303525,52.0842001,0.6410040132645556,2.1980879830034765,0.26616525404470365,-81.31647050847627,372.5967770315074,1,weakly supported
BS100085,Beschoeiing,5.0422571,52.0725589,-0.9702570720503149,1.1178874313703058,0.3148909210290303,0.9080539296190037,368.3234709362966,1,weakly supported
BS100326,Damwand,5.0420382,52.0821308,-0.5542226790813652,1.3415490468019458,0.42782629896473634,1.2829326566533124,131.8970347820019,3,interpolated
WF060327,Muur,5.1242327,52.088869,1.3495519797290891,3.23167943346266,0.43717094424000535,-74.99163632304884,283.91949073387894,2,weakly supported
WF060006,Muur,5.1169878,52.0933436,0.8505878188181182,2.793161487114816,0.5319007550043446,-108.48798354788718,261.7655386892886,1,weakly supported
BS030163,Beschoeiing,5.1031175,52.1125564,-0.274782273259606,1.8392776982225252,0.425648717104642,-3.92983633749207,458.9189782551763,0,weakly supported
WF060098,Muur,5.1262924,52.0868874,0.9918043139618862,2.576525760040364,0.38171939559799606,-112.60778992821074,320.6000322907824,2,weakly supported
BS100047,Beschoeiing,5.0077583,52.1168442,-0.6151390285867478,1.385682443766379,0.4815896142724743,-9.92299400678136,788.133014431851,0,no support
WF060683,Muur,5.1228039,52.0820551,0.4910856420392684,2.343547463120726,0.19931505494830204,-15.830770053670793,222.75392210721378,1,interpolated
BS090176,Damwand,5.0854055,52.0672202,-0.2830334775401975,1.249770365505984,0.19395124256892768,-8.576030572077048,359.5113361168053,2,weakly supported
WF060677,Muur,5.1225595,52.0823894,0.500665919420287,2.4461652162099305,0.20512713669031268,-15.985719742946761,210.22087034606145,1,interpolated
WF060409,Muur,5.1202,52.0911798,1.65049621792271,3.6348346178644855,0.5108317082252084,-58.838716123016724,146.08098437518493,2,interpolated
BS090093,Beschoeiing,5.0862865,52.0679863,-0.2744831716260975,1.2423171150859773,0.18572073997551825,-8.560356860364807,281.68397896674503,2,weakly supported
BS030103,Beschoeiing,5.1278274,52.1170802,-0.12821944093454393,1.892525775838711,0.11208873863238547,-10.392691972541652,230.57737028410565,3,interpolated
WFM06117-X,Muur,5.1233999,52.0953073,0.7294278723787669,2.6428501872307644,0.46577843403534064,30.17229535358419,388.3648520759802,1,weakly supported
BS100207,Damwand,5.0198161,52.0770125,-1.2874126681196976,1.2560732016855616,0.37676439366548714,-4.691268266958094,162.97519546486308,6,interpolated
WFM06391,Muur,5.1244031,52.0922291,1.523496767070883,3.3257562998091705,0.46762830619418444,-59.20827090757761,186.09043523062675,3,interpolated
BS100342,Beschoeiing,4.9930196,52.1307931,-1.324889108673271,1.3822682064960385,0.3650013286972574,-26.438475842504786,248.7333817983888,1,interpolated
BS070064,Beschoeiing,5.1434458,52.0654571,0.4288013624013677,1.2921706656025955,0.38811000284223324,6.499924086696291,100.11528522975493,14,interpolated
BS030153,Beschoeiing,5.0983704,52.1139497,-0.321528053369073,1.9465240592952529,0.37027575871267393,-0.8351240793820449,653.7269755190634,0,no support
WF060473,Muur,5.1189962,52.091589,1.4534130832732466,3.459597102452662,0.4937018820101071,-64.02961382043708,233.71488161802446,2,interpolated
BS030024,Beschoeiing,5.0972979,52.127984,-0.7939982871379271,2.02661829376154,0.21379384847443483,-0.29511829424828345,558.7213586331354,0,no support
BS050038,Beschoeiing,5.15784,52.0747905,0.5086370662819474,1.6528210535420067,0.19532708759533876,,133.85324688968603,3,interpolated
KW070029,Muur,5.1280355,52.0597072,0.3767483964156149,1.2780019510616594,0.36329260892837456,-7.577308941489883,250.67041366771593,2,weakly supported
DW010029,Damwand,5.0650733,52.1106668,-0.5193736545194959,1.7500673871582806,0.2494668978251313,-13.770087783502415,715.3827090253877,0,no support
BS050153,Beschoeiing,5.1400461,52.0846486,0.5059996346834609,1.7285332193914547,0.3652965613633864,-18.803567859000488,363.950636375416,2,weakly supported
WF06,Muur,5.1232412,52.083751,0.524520743827959,2.56221251250815,0.1698484180497014,-21.584474717413507,123.94482252689694,1,interpolated
KM060041,Kademuur,5.1247814,52.0884863,1.239386374616976,3.0626495568026995,0.4168938619982039,-85.29303181463223,339.1920975008087,3,weakly supported
GS100005,Muur,5.023372,52.0751601,-1.0305603951655256,1.4391115671050974,0.6798997774572815,6.8270353419971315,70.56697743935844,6,measured nearby
KM060062,Kademuur,5.1203765,52.0906228,1.6420048746793112,3.6356115856238223,0.5074505140703545,-57.839434177530435,145.80930723721676,2,interpolated
WF060516,Muur,5.1215485,52.0885101,1.2845994698540406,3.357841311935088,0.42732402242542455,-58.79588240810789,297.2934680901366,3,weakly supported
BS040099,Damwand,5.1127751,52.0998912,-0.03143056771302467,2.049969492526002,0.41775002826804547,-30.606450095789796,248.31871350209286,1,interpolated
WF060720,Muur,5.1182232,52.0917458,1.3092958530101975,3.320247083410898,0.4874952164221623,-70.89256739671029,289.14550554855015,3,weakly supported
WF060458,Muur,5.1178171,52.0917547,1.211987196748419,3.2571440283082396,0.4987971381907492,-77.19412409915402,316.4367670261715,3,weakly supported
BS100421,Damwand,5.0341043,52.0755759,-0.9783170688869475,1.3146544749539737,0.35078110656004274,2.334270006961656,201.17927864306589,4,interpolated
