Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2223,IND,C
7-9 uur,NG,93,IND,C
9-16 uur,NG,847,IND,C
16-18 uur,NG,344,IND,C
18-23 uur,NG,586,IND,C
23-7 uur,NG,353,IND,C
