Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,3383,IND,C
7-9 uur,NG,636,IND,C
9-16 uur,NG,1311,IND,C
16-18 uur,NG,458,IND,C
18-23 uur,NG,834,IND,C
23-7 uur,NG,145,IND,C
