Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,3212,IND,C
7-9 uur,NG,608,IND,C
9-16 uur,NG,1216,IND,C
16-18 uur,NG,448,IND,C
18-23 uur,NG,774,IND,C
23-7 uur,NG,166,IND,C
