Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,3626,IND,C
7-9 uur,NG,500,IND,C
9-16 uur,NG,1478,IND,C
16-18 uur,NG,473,IND,C
18-23 uur,NG,863,IND,C
23-7 uur,NG,312,IND,C
