Tijdvak,Zwaarteklasse,Intensiteit,Meetsoort,Betrouwbaarheid
etmaal,NG,2143,IND,C
7-9 uur,NG,110,IND,C
9-16 uur,NG,709,IND,C
16-18 uur,NG,416,IND,C
18-23 uur,NG,698,IND,C
23-7 uur,NG,210,IND,C
