gld_bro_id,kind,lon,lat,screen_depth_below_ground_m,first_date,last_date,n_observations,file
GLD000000013715,preliminary,5.11885821,52.09922669,1.62,2021-04-14,2026-06-01,61,GLD000000013715_preliminary.csv
GLD000000013716,preliminary,5.1763464,52.09133625,0.53,2021-04-20,2026-06-01,59,GLD000000013716_preliminary.csv
GLD000000013717,preliminary,5.10750849,52.10478716,1.29,2021-04-15,2026-06-01,66,GLD000000013717_preliminary.csv
GLD000000013718,preliminary,5.0487241,52.08670169,2.71,2021-04-26,2026-06-01,64,GLD000000013718_preliminary.csv
GLD000000013719,preliminary,5.04911501,52.10255781,4.07,2021-04-23,2026-06-01,63,GLD000000013719_preliminary.csv
GLD000000013720,preliminary,5.03164932,52.07748069,1.26,2021-04-12,2026-06-01,57,GLD000000013720_preliminary.csv
GLD000000013721,preliminary,5.1318904,52.09373933,1.63,2021-04-14,2026-06-01,66,GLD000000013721_preliminary.csv
GLD000000013722,preliminary,5.09659352,52.0776555,1.14,2021-04-16,2026-06-01,66,GLD000000013722_preliminary.csv
GLD000000013723,preliminary,5.08641884,52.0876756,4.97,2021-04-21,2026-06-01,66,GLD000000013723_preliminary.csv
GLD000000013724,preliminary,5.1763464,52.09133625,5.35,2021-04-20,2026-06-01,55,GLD000000013724_preliminary.csv
GLD000000013725,preliminary,5.07349921,52.09699858,4.09,2021-04-30,2026-05-31,59,GLD000000013725_preliminary.csv
GLD000000013726,preliminary,5.12233485,52.09114114,5.04,2021-04-28,2026-06-01,64,GLD000000013726_preliminary.csv
GLD000000013727,preliminary,5.12543488,52.10747938,4.58,2021-04-28,2026-06-01,64,GLD000000013727_preliminary.csv
GLD000000013728,preliminary,5.18969046,52.08540479,4.55,2021-04-20,2026-06-01,65,GLD000000013728_preliminary.csv
GLD000000013729,preliminary,5.08792996,52.10018456,5.36,2021-04-29,2026-06-01,63,GLD000000013729_preliminary.csv
GLD000000013730,preliminary,4.99139582,52.10847227,2.81,2021-05-04,2026-06-01,66,GLD000000013730_preliminary.csv
GLD000000013731,preliminary,5.13589153,52.10395179,4.86,2021-04-29,2026-06-01,65,GLD000000013731_preliminary.csv
GLD000000013732,preliminary,5.0277193,52.07954958,1.18,2021-04-12,2026-06-01,61,GLD000000013732_preliminary.csv
GLD000000013733,preliminary,5.13001802,52.0669546,0.63,2021-04-16,2026-06-01,64,GLD000000013733_preliminary.csv
GLD000000013734,preliminary,5.12516855,52.07070861,3.14,2021-04-21,2026-06-01,67,GLD000000013734_preliminary.csv
GLD000000013735,preliminary,5.08187907,52.10937917,3.63,2021-04-30,2026-06-01,67,GLD000000013735_preliminary.csv
GLD000000013736,preliminary,5.04241707,52.08096711,0.43,2021-04-13,2026-06-01,59,GLD000000013736_preliminary.csv
GLD000000013737,preliminary,5.13726016,52.06014692,1.34,2021-04-20,2026-06-01,66,GLD000000013737_preliminary.csv
GLD000000013738,preliminary,5.00898391,52.10869174,2.54,2021-04-30,2026-06-01,66,GLD000000013738_preliminary.csv
GLD000000013739,preliminary,5.12794336,52.06200219,1.17,2021-04-19,2026-06-01,64,GLD000000013739_preliminary.csv
GLD000000013740,preliminary,5.11668148,52.0615486,4.66,2021-04-21,2026-06-01,64,GLD000000013740_preliminary.csv
GLD000000013741,preliminary,5.09591228,52.07051421,3.79,2021-04-21,2026-06-01,66,GLD000000013741_preliminary.csv
GLD000000013742,preliminary,5.08473934,52.11190743,1.13,2021-04-15,2026-06-01,66,GLD000000013742_preliminary.csv
GLD000000013743,preliminary,5.03718124,52.08694665,0.95,2021-04-23,2026-06-01,59,GLD000000013743_preliminary.csv
GLD000000013744,preliminary,5.1380579,52.09966709,1.61,2021-04-14,2026-06-01,57,GLD000000013744_preliminary.csv
GLD000000013746,preliminary,5.0446667,52.11928979,4.99,2021-04-23,2026-06-01,66,GLD000000013746_preliminary.csv
